noise,seed,avg. Reward
0.0,4.5,7.290000000000001
0.05,4.5,7.290000000000001
0.1,4.5,7.290000000000001
0.15000000000000002,4.5,7.290000000000001
0.2,4.5,7.290000000000001
0.25,4.5,7.290000000000001
0.30000000000000004,4.5,7.290000000000001
0.35000000000000003,4.5,7.290000000000001
0.4,4.5,7.290000000000001
0.45,4.5,7.290000000000001
0.5,4.5,7.290000000000001
0.55,4.5,7.290000000000001
0.6000000000000001,4.5,7.290000000000001
0.65,4.5,7.290000000000001
0.7000000000000001,4.5,7.290000000000001
0.75,4.5,7.290000000000001
0.8,4.5,7.290000000000001
0.8500000000000001,4.5,7.290000000000001
0.9,4.5,7.290000000000001
0.9500000000000001,4.5,7.290000000000001
1.0,4.5,7.290000000000001
